timestamp,date,time,avg_speed,weather_type,weather_code,temperature,precipitation,intensity_30min,cars,trucks,busses
2023-10-01 00:00:00,2023-10-01,00:00:00,101.56,clear,1,19.0,0.0,102,83,13,6
2023-10-01 00:30:00,2023-10-01,00:30:00,96.92,clear,1,15.4,0.0,107,83,13,11
2023-10-01 01:00:00,2023-10-01,01:00:00,101.14,clear,1,20.4,0.0,85,69,11,5
2023-10-01 01:30:00,2023-10-01,01:30:00,103.83,clear,1,13.6,0.0,83,66,12,5
2023-10-01 02:00:00,2023-10-01,02:00:00,104.27,clear,1,16.2,0.0,67,54,9,4
2023-10-01 02:30:00,2023-10-01,02:30:00,105.76,clear,1,24.7,0.0,69,56,11,2
2023-10-01 03:00:00,2023-10-01,03:00:00,104.49,clear,1,16.3,0.0,68,55,10,3
2023-10-01 03:30:00,2023-10-01,03:30:00,106.56,clear,1,19.5,0.0,69,54,9,6
2023-10-01 04:00:00,2023-10-01,04:00:00,103.75,clear,1,14.6,0.0,91,72,13,6
2023-10-01 04:30:00,2023-10-01,04:30:00,100.86,clear,1,21.3,0.0,91,72,15,4
2023-10-01 05:00:00,2023-10-01,05:00:00,90.47,clear,1,17.8,0.0,142,112,18,12
2023-10-01 05:30:00,2023-10-01,05:30:00,91.59,clear,1,17.1,0.0,143,115,19,9
2023-10-01 06:00:00,2023-10-01,06:00:00,73.17,clear,1,17.1,0.0,293,228,47,18
2023-10-01 06:30:00,2023-10-01,06:30:00,74.04,clear,1,14.8,0.0,291,231,38,22
2023-10-01 07:00:00,2023-10-01,07:00:00,55.74,clear,1,19.0,0.0,537,435,74,28
2023-10-01 07:30:00,2023-10-01,07:30:00,58.5,clear,1,19.3,0.0,512,411,81,20
2023-10-01 08:00:00,2023-10-01,08:00:00,49.6,clear,1,15.1,0.0,627,491,106,30
2023-10-01 08:30:00,2023-10-01,08:30:00,52.6,clear,1,15.8,0.0,651,531,104,16
2023-10-01 09:00:00,2023-10-01,09:00:00,62.57,clear,1,22.5,0.0,468,375,79,14
2023-10-01 09:30:00,2023-10-01,09:30:00,60.87,clear,1,11.1,0.0,451,368,66,17
2023-10-01 10:00:00,2023-10-01,10:00:00,68.87,clear,1,13.1,0.0,401,318,62,21
2023-10-01 10:30:00,2023-10-01,10:30:00,66.84,clear,1,25.0,0.0,383,305,54,24
2023-10-01 11:00:00,2023-10-01,11:00:00,70.8,clear,1,18.7,0.0,338,265,53,20
2023-10-01 11:30:00,2023-10-01,11:30:00,68.49,clear,1,24.3,0.0,360,289,58,13
2023-10-01 12:00:00,2023-10-01,12:00:00,68.43,clear,1,18.6,0.0,360,282,49,29
2023-10-01 12:30:00,2023-10-01,12:30:00,70.22,clear,1,23.9,0.0,348,274,50,24
2023-10-01 13:00:00,2023-10-01,13:00:00,69.67,clear,1,23.3,0.0,340,270,57,13
2023-10-01 13:30:00,2023-10-01,13:30:00,72.98,clear,1,22.9,0.0,334,267,49,18
2023-10-01 14:00:00,2023-10-01,14:00:00,65.96,clear,1,14.6,0.0,398,311,60,27
2023-10-01 14:30:00,2023-10-01,14:30:00,69.26,clear,1,18.2,0.0,399,321,65,13
2023-10-01 15:00:00,2023-10-01,15:00:00,66.01,clear,1,19.0,0.0,414,325,53,36
2023-10-01 15:30:00,2023-10-01,15:30:00,69.08,clear,1,17.2,0.0,410,325,59,26
2023-10-01 16:00:00,2023-10-01,16:00:00,56.6,clear,1,15.9,0.0,574,449,92,33
2023-10-01 16:30:00,2023-10-01,16:30:00,56.27,clear,1,14.0,0.0,584,459,81,44
2023-10-01 17:00:00,2023-10-01,17:00:00,49.5,clear,1,10.8,0.0,715,564,104,47
2023-10-01 17:30:00,2023-10-01,17:30:00,47.72,clear,1,18.1,0.0,712,559,109,44
2023-10-01 18:00:00,2023-10-01,18:00:00,52.96,clear,1,15.8,0.0,602,482,81,39
2023-10-01 18:30:00,2023-10-01,18:30:00,55.04,clear,1,17.3,0.0,596,479,78,39
2023-10-01 19:00:00,2023-10-01,19:00:00,65.13,clear,1,15.0,0.0,433,344,57,32
2023-10-01 19:30:00,2023-10-01,19:30:00,62.11,clear,1,23.0,0.0,474,379,73,22
2023-10-01 20:00:00,2023-10-01,20:00:00,71.82,clear,1,12.7,0.0,349,273,58,18
2023-10-01 20:30:00,2023-10-01,20:30:00,68.17,clear,1,17.3,0.0,348,277,50,21
2023-10-01 21:00:00,2023-10-01,21:00:00,77.74,clear,1,20.6,0.0,271,215,44,12
2023-10-01 21:30:00,2023-10-01,21:30:00,78.11,clear,1,16.5,0.0,275,219,41,15
2023-10-01 22:00:00,2023-10-01,22:00:00,83.15,clear,1,23.4,0.0,206,166,27,13
2023-10-01 22:30:00,2023-10-01,22:30:00,82.91,clear,1,13.6,0.0,202,158,26,18
2023-10-01 23:00:00,2023-10-01,23:00:00,93.37,clear,1,18.8,0.0,138,107,21,10
2023-10-01 23:30:00,2023-10-01,23:30:00,92.78,clear,1,19.8,0.0,145,114,19,12
2023-10-02 00:00:00,2023-10-02,00:00:00,89.23,clear,1,16.0,0.0,150,122,22,6
2023-10-02 00:30:00,2023-10-02,00:30:00,93.64,clear,1,22.8,0.0,148,119,19,10
2023-10-02 01:00:00,2023-10-02,01:00:00,97.59,clear,1,11.5,0.0,119,95,17,7
2023-10-02 01:30:00,2023-10-02,01:30:00,99.44,clear,1,20.2,0.0,121,96,16,9
2023-10-02 02:00:00,2023-10-02,02:00:00,102.78,clear,1,14.3,0.0,104,82,16,6
2023-10-02 02:30:00,2023-10-02,02:30:00,100.23,clear,1,18.9,0.0,103,84,17,2
2023-10-02 03:00:00,2023-10-02,03:00:00,100.19,clear,1,16.4,0.0,100,81,16,3
2023-10-02 03:30:00,2023-10-02,03:30:00,104.61,clear,1,23.0,0.0,99,79,16,4
2023-10-02 04:00:00,2023-10-02,04:00:00,98.01,clear,1,24.8,0.0,126,100,20,6
2023-10-02 04:30:00,2023-10-02,04:30:00,93.7,clear,1,22.7,0.0,130,101,17,12
2023-10-02 05:00:00,2023-10-02,05:00:00,84.61,clear,1,15.4,0.0,200,158,26,16
2023-10-02 05:30:00,2023-10-02,05:30:00,84.62,clear,1,16.4,0.0,207,167,27,13
2023-10-02 06:00:00,2023-10-02,06:00:00,63.1,clear,1,15.8,0.0,417,340,56,21
2023-10-02 06:30:00,2023-10-02,06:30:00,64.4,clear,1,20.3,0.0,392,315,52,25
2023-10-02 07:00:00,2023-10-02,07:00:00,52.71,clear,1,18.7,0.0,738,578,99,61
2023-10-02 07:30:00,2023-10-02,07:30:00,47.82,clear,1,13.7,0.0,761,620,109,32
